1
14 0xdddddd 1 096 193
000 014 0xFFFFFF 000 011 0xFFFFFF
000 011 0xFFFFFF 003 011 0xFFFFFF
003 011 0xFFFFFF 003 010 0xFFFFFF
003 010 0xFFFFFF 005 010 0xFFFFFF
005 010 0xFFFFFF 005 000 0xFFFFFF
005 000 0xFFFFFF 007 000 0xFFFFFF
007 000 0xFFFFFF 007 009 0xFFFFFF
007 009 0xFFFFFF 010 009 0xFFFFFF
010 009 0xFFFFFF 010 008 0xFFFFFF
010 008 0xFFFFFF 007 008 0xFFFFFF
007 008 0xFFFFFF 007 013 0xFFFFFF
007 013 0xFFFFFF 002 013 0xFFFFFF
002 013 0xFFFFFF 002 014 0xFFFFFF
002 014 0xFFFFFF 000 014 0xFFFFFF
