1
14 0xdddddd 1 006 040
000 013 0xFFFFFF 000 008 0xFFFFFF
000 008 0xFFFFFF 010 008 0xFFFFFF
010 008 0xFFFFFF 010 004 0xFFFFFF
010 004 0xFFFFFF 004 004 0xFFFFFF
004 004 0xFFFFFF 004 000 0xFFFFFF
004 000 0xFFFFFF 030 000 0xFFFFFF
030 000 0xFFFFFF 030 005 0xFFFFFF
030 005 0xFFFFFF 020 005 0xFFFFFF
020 005 0xFFFFFF 020 011 0xFFFFFF
020 011 0xFFFFFF 025 011 0xFFFFFF
025 011 0xFFFFFF 025 015 0xFFFFFF
025 015 0xFFFFFF 010 014 0xFFFFFF
010 014 0xFFFFFF 010 015 0xFFFFFF
010 015 0xFFFFFF 000 013 0xFFFFFF
