2
20 0xff0000 1 000 000
014 002 0x757575 009 004 0x757575
009 004 0x757575 005 007 0x757575
005 007 0x757575 003 011 0x757575
003 011 0x757575 002 014 0x757575
002 014 0x757575 002 022 0x757575
002 022 0x757575 004 027 0x757575
004 027 0x757575 008 031 0x757575
008 031 0x757575 012 033 0x757575
012 033 0x757575 014 034 0x757575
014 034 0x757575 022 034 0x757575
022 034 0x757575 025 033 0x757575
025 033 0x757575 029 031 0x757575
029 031 0x757575 032 027 0x757575
032 027 0x757575 034 020 0x757575
034 020 0x757575 034 014 0x757575
034 014 0x757575 033 011 0x757575
033 011 0x757575 031 007 0x757575
031 007 0x757575 027 004 0x757575
027 004 0x757575 022 002 0x757575
022 002 0x757575 014 002 0x757575
4 0x000000 2 000 000
000 000 0xffffff 035 000 0xffffff
035 000 0xffffff 035 035 0xffffff
035 035 0xffffff 000 035 0xffffff
000 035 0xffffff 000 000 0xffffff
